Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Syracuse Nationals*,80,,3690,8290,.445,,,,3690,8290,.445,2350,3005,.782,,,5516,1742,,,,2277,9730
2,Cincinnati Royals*,80,,3672,7998,.459,,,,3672,7998,.459,2183,2923,.747,,,5561,1931,,,,2203,9527
3,Boston Celtics*,80,,3746,8779,.427,,,,3746,8779,.427,2012,2777,.725,,,5818,1960,,,,2090,9504
4,San Francisco Warriors,80,,3805,8449,.450,,,,3805,8449,.450,1870,2797,.669,,,5359,1906,,,,1882,9480
5,Los Angeles Lakers*,80,,3506,7948,.441,,,,3506,7948,.441,2230,2931,.761,,,5282,1739,,,,1775,9242
6,Detroit Pistons*,80,,3534,8188,.432,,,,3534,8188,.432,2044,2852,.717,,,5315,1731,,,,2181,9112
7,New York Knicks,80,,3433,8007,.429,,,,3433,8007,.429,1971,2778,.710,,,4952,1658,,,,2144,8837
8,Chicago Zephyrs,80,,3371,7448,.453,,,,3371,7448,.453,2053,2944,.697,,,5145,1773,,,,2065,8795
9,St. Louis Hawks*,80,,3355,7780,.431,,,,3355,7780,.431,2056,2820,.729,,,5096,1902,,,,2077,8766
,League Average,80,,3568,8099,.441,,,,3568,8099,.441,2085,2870,.727,,,5338,1816,,,,2077,9221
